Graffiti,Cercanía a puntos de interés ,Nivel de accesibilidad ,Visibilidad ,Tipo de espacio ,Frecuencia de visitas al área ,Técnica utilizada ,Formato,Complejidad visual ,Tamaño del arte ,Colores dominantes ,Tonalidad predominante ,Saturación,Contraste entre colores ,Monocromático o policromático ,Temas representados ,Enfoque,Narrativa,Uso de metáforas visuales ,Elementos simbólicos específicos ,Influencias culturales ,Iconografía religiosa o espiritual ,Simbolismo político o social ,Duración esperada ,Condiciones de conservación ,Factores de deterioro visibles ,Frecuencia de mantenimiento o restauración 
001,Plaza,Público,Media,Muro público,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,verde,Fríos,Media,Baja,Monocromático,una figura que parece representar un pez o una forma abstracta,Individual,Abstracta,No,Ninguno claramente identificable,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
002,Plaza,Público,Baja,Muro público,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Neutros,Baja,Baja,Monocromático,Letras,Individual,Explícita,No,Ninguno claramente visible,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
003,Calle,Público,Media,Muro público,Media,"Arte urbano, graffiti",1,Simple,Pequeño,rojo,Cálidos,Alta,Alta,Monocromático,Letras,Individual,Explícita,No,"El mensaje está claro: ""SMILE"" (Sonríe).",Ninguna identificable,No,No,Temporal,Regular,ninguno,Ninguna
004,Calle,Público,Media,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Pequeño,rojo,Cálidos,Alta,Alta,Monocromático,Letras,Individual,Abstracta,No,No se identifican elementos simbólicos claros.,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
005,Calle,Público,Media,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Neutros,Media,Media,Monocromático,Deporte,Individual,Explícita,No," Sí, el nombre ""Peñarol"" puede simbolizar apoyo al equipo de fútbol o identificación con él.",Occidental,No,No,Temporal,Regular,Ninguno,Ninguna
006,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Pequeño,rosa,Cálidos,Alta,Media,Monocromático,Firma de artista,Individual,Explícita,No,Ninguno claramente visible.,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
007,Parque,Público,Alta,Muro público,Baja,"Arte urbano, graffiti",1,Simple,Mediano,negro,Neutros,Baja,Media,Monocromático,"Firma de artista, Letras, Rostro sonriente",Individual,Abstracta,No,"La figura sonriente (""smiley"") podría considerarse un elemento simbólico general de positividad o irreverencia.",Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
008,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Mediano,negro,Neutros,Media,Alta,Monocromático,Letras,Individual,Abstracta,Sí,"Sí, el gato negro y el nombre CATS",Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
009,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Mediano,negro y blanco,Neutros,Baja,Media,Monocromático,"Firma de artista, Letras",Individual,Abstracta,No,"Ninguno claramente visible, aunque algunos diseños tienen formas decorativas.",Ninguna identificable,No,No,Temporal,Deteriorada,Exposición al clima,Ninguna
010,Estación de transporte,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Mediano,Blanco,Neutros,Baja,Media,Monocromático,"Es un mensaje romántico, probablemente personal (""Te amo"")",Individual,Explícita,No,"Las iniciales ""D&E"" y la fecha (""19-01-16"") pueden ser simbólicos para los involucrados, representando nombres y un momento significativo.",Ninguna identificable,No,No,Temporal,Regular,Ninguno,Ninguna
